- Vespa Sprint 150 IGET Sport ABS (2022, ZAPMD1201)
- Vespa 946 125 (2013-2019, ZAPM80100)
- Vespa 946 125 (2015-2023, ZAPM80101)
- Vespa 946 125 (2016-2019, ZAPMA7100)
- Vespa 946 125 (2021-2024, ZAPMD710)
- Vespa 946 150 (2018-2019, ZAPM80200)
- Vespa 946 150 (2018-2019, ZAPMA7200)
- Vespa 946 150 (2023-2024, ZAPMD7200)
- Vespa Primavera 125 (2013-2017, RP8M82100)
- Vespa Primavera 125 (2013-2017, RP8M82310)
- Vespa Primavera 125 (2013-2017, RP8M82821)
- Vespa Primavera 125 (2013-2017, ZAPM81100)
- Vespa Primavera 125 (2013-2017, ZAPM81101)
- Vespa Primavera 125 (2016-2020, ZAPMA1100)
- Vespa Primavera 125 (2016-2023, RP8M82500)
- Vespa Primavera 125 (2018-2020, ZAPMA1101)
- Vespa Primavera 125 (2020-2023, ZAPMD1100)
- Vespa Primavera 125 (2024, ZAPMD1102)
- Vespa Primavera 150 (2013-2016, ZAPM81200)
- Vespa Primavera 150 (2016-2020, ZAPMA1200)
- Vespa Primavera 150 (2018-2020, ZAPMA1201)
- Vespa Primavera 150 (2021-2023, ZAPMD120)
- Vespa Primavera 150 (2024, ZAPMD1202)
- Vespa Sprint 125 (2014-2016, RP8M82111)
- Vespa Sprint 125 (2014-2016, ZAPM81300)
- Vespa Sprint 125 (2014-2016, ZAPM81301)
- Vespa Sprint 125 (2016-2020, ZAPMA1300)
- Vespa Sprint 125 (2019-2020, ZAPMA1301)
- Vespa Sprint 125 (2020-2022, ZAPMD1101)
- Vespa Sprint 150 (2016-2019, ZAPMA1400)
- Vespa Sprint 150 (2016-2019, ZAPMA1401)
- Vespa Sprint 150 (2020-2023, ZAPMD1201)
